w1b	w2b	w3b	w4b	l2	l3	l4
20491	6291844	271408	17860672	6312335	6583743	24444415
20491	6291844	16910384	1320448	6312335	23222719	24543167
20491	6291844	401456	35130368	6312335	6713791	41844159
20491	6291844	1058912	394768	6312335	7371247	7766015
20491	6291844	1058912	16909840	6312335	7371247	24281087
20491	6291844	1058912	25297936	6312335	7371247	32669183
20491	6291844	1058912	427024	6312335	7371247	7798271
20491	6291844	1058912	16942096	6312335	7371247	24313343
20491	6291844	1058912	950288	6312335	7371247	8321535
20491	6291844	1058912	25329680	6312335	7371247	32700927
20491	6291844	1058912	25460752	6312335	7371247	32831999
20491	6291844	1058912	820240	6312335	7371247	8191487
20491	6291844	1058912	918544	6312335	7371247	8289791
20491	6291844	1059872	950288	6312335	7372207	8322495
20491	6291844	1059872	25329680	6312335	7372207	32701887
20491	6291844	1059872	25460752	6312335	7372207	32832959
20491	6291844	1189920	25460752	6312335	7502255	32963007
20491	6291844	1313824	16941136	6312335	7626159	24567295
20491	6291844	1313824	25329680	6312335	7626159	32955839
20491	6291844	18352160	394768	6312335	24664495	25059263
20491	6291844	16812080	1320448	6312335	23124415	24444863
20491	6291844	1441888	25176080	6312335	7754223	32930303
20491	6291844	1966112	25176080	6312335	8278447	33454527
20491	6291844	35129376	17170512	6312335	41441711	58612223
20491	6291844	35129376	16941136	6312335	41441711	58382847
20491	6291844	35129376	394768	6312335	41441711	41836479
20491	6291844	35129376	16909840	6312335	41441711	58351551
20491	6291844	35129376	25297936	6312335	41441711	66739647
20491	6291844	35129376	140368	6312335	41441711	41582079
20491	6291844	35129376	17080336	6312335	41441711	58522047
20491	6291844	35129376	427024	6312335	41441711	41868735
20491	6291844	35129376	16942096	6312335	41441711	58383807
20491	6291844	35129376	17073168	6312335	41441711	58514879
20491	6291844	35129376	25460752	6312335	41441711	66902463
20491	6291844	35129376	17171472	6312335	41441711	58613183
20491	6291844	35129376	434192	6312335	41441711	41875903
20491	6291844	1319968	16941136	6312335	7632303	24573439
20491	6291844	1319968	25329680	6312335	7632303	32961983
20491	6291844	51511328	272464	6312335	57823663	58096127
20491	6291844	51511328	298000	6312335	57823663	58121663
20491	6291844	51511328	820240	6312335	57823663	58643903
20491	6291844	51511328	827408	6312335	57823663	58651071
20491	6291844	788560	17835520	6312335	7100895	24936415
20491	6291844	1837120	16909840	6312335	8149455	25059295
20491	6291844	1837120	25297936	6312335	8149455	33447391
20491	6291844	17170512	35130368	6312335	23482847	58613215
20491	6291844	1704032	298000	6312335	8016367	8314367
20491	6291844	1704032	16813072	6312335	8016367	24829439
20491	6291844	1704032	17073168	6312335	8016367	25089535
20491	6291844	1704032	25460752	6312335	8016367	33477119
20491	6291844	1704032	25430032	6312335	8016367	33446399
20491	6291844	1704032	25176080	6312335	8016367	33192447
20491	6291844	1712192	298000	6312335	8024527	8322527
20491	6291844	1712192	25430032	6312335	8024527	33454559
20491	6291844	16941136	1835552	6312335	23253471	25089023
20491	6291844	16941136	1320448	6312335	23253471	24573919
20491	6291844	16941136	35130368	6312335	23253471	58383839
20491	6291844	1312864	16909840	6312335	7625199	24535039
20491	6291844	1312864	25297936	6312335	7625199	32923135
20491	6291844	1312864	34218000	6312335	7625199	41843199
20491	6291844	1312864	25329680	6312335	7625199	32954879
20491	6291844	1345600	16909840	6312335	7657935	24567775
20491	6291844	1345600	25297936	6312335	7657935	32955871
20491	6291844	1345600	34218000	6312335	7657935	41875935
20491	6291844	17860672	34218000	6312335	24173007	58391007
20491	6291844	1320000	25329680	6312335	7632335	32962015
20491	6291844	394768	17836096	6312335	6707103	24543199
20491	6291844	394768	17860640	6312335	6707103	24567743
20491	6291844	16909840	1843264	6312335	23222175	25065439
20491	6291844	1835552	16813072	6312335	8147887	24960959
20491	6291844	1835552	25297936	6312335	8147887	33445823
20491	6291844	1835552	140368	6312335	8147887	8288255
